#,xzqmc,date,sfyd_zs,sfyd_mj,gkczyd_zs,gkczyd_mj,zzyd_zs,zzyd_mj,ggglyggfwyd_zs,ggglyggfwyd_mj,tsyd_zs,tsyd_mj,jtysyd_zs,jtysyd_mj,syjslssyd_zs,syjslssyd_mj,qttd_zs,qttd_mj
138,广西壮族自治区,2016-05-01,58,63.2100,69,251.9600,316,213.9300,63,233.7300,3,6.2500,35,243.0300,0,0.0000,0,0.0000
139,广西壮族自治区,2016-06-01,26,59.3500,45,234.4000,353,230.0300,86,2085.8600,4,3.7900,135,624.3300,1,28.7200,0,0.0000
140,广西壮族自治区,2016-07-01,105,40.7000,54,261.3100,282,222.6000,123,550.1600,1,1.8300,151,703.6800,3,25.9000,0,0.0000
141,广西壮族自治区,2016-08-01,32,84.3300,32,166.4500,197,222.2600,55,118.7200,1,1.1800,43,1014.3100,0,0.0000,0,0.0000
142,广西壮族自治区,2016-09-01,38,42.7500,34,118.5100,207,246.2600,55,103.1000,4,21.5400,25,228.4100,4,0.6700,0,0.0000
143,广西壮族自治区,2016-10-01,55,73.3700,73,498.5800,281,302.2700,80,217.2100,2,8.8400,45,637.3100,0,0.0000,0,0.0000
144,广西壮族自治区,2016-11-01,86,191.0700,131,749.5500,314,604.5100,266,1151.2400,6,21.7100,93,598.5200,4,39.3000,0,0.0000
145,广西壮族自治区,2016-12-01,59,249.6700,56,226.1900,239,357.9900,138,648.6900,7,50.8700,172,1920.4600,13,977.7500,0,0.0000
146,贵州省,2015-01-01,93,123.1177,59,233.5896,256,324.6210,71,390.8092,2,12.7701,27,301.0651,1,42.8421,0,0.0000
147,贵州省,2015-02-01,68,186.1634,45,159.0242,173,174.3736,45,124.1780,3,18.3371,13,358.3366,1,0.1333,3,52.1999
148,贵州省,2015-03-01,53,76.8556,47,119.5406,152,124.6276,47,149.3478,4,11.2930,12,363.0112,1,3.0279,28,59.4162
149,贵州省,2015-04-01,90,178.4685,73,252.1361,218,354.7421,48,263.7617,0,0.0000,4,274.0659,3,4.0008,0,0.0000
150,贵州省,2015-05-01,88,123.3888,107,329.6037,300,264.4267,77,1584.9825,3,4.7060,12,36.7957,1,21.4080,0,0.0000
151,贵州省,2015-06-01,122,217.1454,58,187.2617,337,455.3282,37,144.0355,0,0.0000,14,240.9139,2,8.4782,39,141.9453
152,贵州省,2015-07-01,146,283.2031,81,379.7440,307,371.9271,85,154.8311,1,2.0076,39,306.6653,5,93.1658,61,350.1216
153,贵州省,2015-08-01,120,306.6936,60,192.9744,309,184.3960,46,63.1185,1,0.1854,17,183.2321,1,6.5838,31,120.7560
154,贵州省,2015-09-01,159,279.8644,65,322.6267,239,366.7358,84,695.3703,3,7.1445,11,63.2023,0,0.0000,119,654.1761
155,贵州省,2015-10-01,76,186.9593,48,198.7977,280,531.7134,134,581.8548,2,6.8606,19,313.8258,5,19.7234,79,375.7090
156,贵州省,2015-11-01,107,157.4582,94,231.0906,295,593.3323,142,629.6735,3,14.5444,5,71.5201,0,0.0000,55,310.8636
157,贵州省,2015-12-01,83,174.2217,119,551.4569,337,390.5086,232,943.4342,3,6.9791,31,110.6358,5,24.3622,80,440.3555
