#,pxzqmc,sxzqmc,date,sfyd_zs,sfyd_mj,gkczyd_zs,gkczyd_mj,zzyd_zs,zzyd_mj,ggglyggfwyd_zs,ggglyggfwyd_mj,tsyd_zs,tsyd_mj,jtysyd_zs,jtysyd_mj,syjslssyd_zs,syjslssyd_mj,qttd_zs,qttd_mj
116,安徽省,池州市,2016-08-01,12,38.7100,15,42.3500,0,0.0000,7,1.5100,0,0.0000,3,303.0600,0,0.0000,0,0.0000
117,安徽省,池州市,2016-09-01,0,0.0000,0,0.0000,1,0.0400,2,2.6000,1,1.1100,3,45.4000,0,0.0000,0,0.0000
118,安徽省,池州市,2016-10-01,7,24.1700,19,41.2000,9,53.7900,21,105.5100,0,0.0000,9,101.4000,0,0.0000,0,0.0000
119,安徽省,池州市,2016-11-01,1,1.9300,4,25.7900,3,3.9700,12,17.7100,0,0.0000,2,0.5800,0,0.0000,0,0.0000
120,安徽省,池州市,2016-12-01,1,1.9300,4,25.7900,3,3.9700,12,17.7100,0,0.0000,2,0.5800,0,0.0000,0,0.0000
121,安徽省,滁州市,2015-01-01,9,7.4100,26,53.8300,47,69.3200,25,28.4700,0,0.0000,22,18.7300,0,0.0000,0,0.0000
122,安徽省,滁州市,2015-02-01,0,0.0000,0,0.0000,6,4.7300,1,20.4200,0,0.0000,0,0.0000,0,0.0000,0,0.0000
123,安徽省,滁州市,2015-03-01,1,3.5000,7,7.9300,10,23.1900,68,61.4400,0,0.0000,32,32.7600,0,0.0000,0,0.0000
124,安徽省,滁州市,2015-04-01,7,30.0700,26,69.7200,13,39.1500,2,13.9200,0,0.0000,13,19.3900,0,0.0000,0,0.0000
125,安徽省,滁州市,2015-05-01,6,17.9600,24,47.8400,13,51.4100,5,25.1200,0,0.0000,11,117.0500,0,0.0000,0,0.0000
126,安徽省,滁州市,2015-06-01,13,31.0900,9,17.9300,23,103.5600,1,6.0600,0,0.0000,4,45.0400,0,0.0000,0,0.0000
127,安徽省,滁州市,2015-07-01,6,18.3900,75,134.4100,10,22.8400,42,51.6100,1,0.3800,0,0.0000,0,0.0000,0,0.0000
128,安徽省,滁州市,2015-08-01,4,14.3700,23,46.4300,23,108.4700,28,57.4900,0,0.0000,1,1.1500,0,0.0000,0,0.0000
129,安徽省,滁州市,2015-09-01,18,42.3100,24,27.0900,46,178.3400,10,34.7500,0,0.0000,1,10.0000,0,0.0000,0,0.0000
130,安徽省,滁州市,2015-10-01,4,4.6200,17,36.6300,36,51.3500,74,191.2600,0,0.0000,37,185.2900,0,0.0000,0,0.0000
131,安徽省,滁州市,2015-11-01,27,80.7400,40,108.5000,61,225.3900,39,23.4900,2,6.1600,19,102.3500,0,0.0000,0,0.0000
132,安徽省,滁州市,2015-12-01,9,27.5000,34,62.6800,31,69.9500,39,34.7300,0,0.0000,7,20.4800,0,0.0000,0,0.0000
133,安徽省,滁州市,2016-01-01,5,4.8200,47,99.6300,6,20.0800,2,2.7600,0,0.0000,1,1.2000,0,0.0000,0,0.0000
134,安徽省,滁州市,2016-02-01,0,0.0000,18,54.6400,4,18.0600,3,2.1600,0,0.0000,0,0.0000,0,0.0000,0,0.0000
135,安徽省,滁州市,2016-03-01,6,4.1000,56,118.3300,4,29.8200,32,60.2300,0,0.0000,25,198.2700,0,0.0000,0,0.0000
136,安徽省,滁州市,2016-04-01,1,0.5600,34,49.1600,4,12.1700,18,18.1200,0,0.0000,6,73.7900,0,0.0000,0,0.0000
137,安徽省,滁州市,2016-05-01,2,2.3200,14,28.8400,21,108.5000,23,33.1700,0,0.0000,3,356.0700,0,0.0000,0,0.0000
138,安徽省,滁州市,2016-06-01,3,4.6800,17,49.4500,3,6.0300,3,8.4500,0,0.0000,20,58.9500,0,0.0000,0,0.0000
139,安徽省,滁州市,2016-07-01,6,7.2400,38,52.7000,11,54.4300,3,18.2900,0,0.0000,4,18.9800,0,0.0000,0,0.0000
140,安徽省,滁州市,2016-08-01,12,42.5800,30,118.2100,15,57.3800,7,8.4800,0,0.0000,0,0.0000,0,0.0000,0,0.0000
141,安徽省,滁州市,2016-09-01,3,12.4500,16,69.6000,4,20.7300,7,9.5900,0,0.0000,2,2.6400,0,0.0000,0,0.0000
142,安徽省,滁州市,2016-10-01,3,11.3600,15,39.4100,12,75.9000,41,623.1200,0,0.0000,15,68.2500,0,0.0000,0,0.0000
143,安徽省,滁州市,2016-11-01,3,12.3100,31,56.2900,13,59.6800,21,45.2600,0,0.0000,2,6.1700,0,0.0000,0,0.0000
144,安徽省,滁州市,2016-12-01,3,12.3100,31,56.2900,13,59.6800,21,45.2600,0,0.0000,2,6.1700,0,0.0000,0,0.0000
145,安徽省,阜阳市,2015-01-01,1,1.7200,15,87.8800,8,29.2600,3,6.4300,1,4.0600,7,63.6700,0,0.0000,0,0.0000
146,安徽省,阜阳市,2015-02-01,4,46.8200,18,97.2200,11,52.9300,3,22.8400,1,4.2000,3,97.5000,0,0.0000,0,0.0000
147,安徽省,阜阳市,2015-03-01,0,0.0000,11,50.1200,18,73.7100,25,24.0200,0,0.0000,0,0.0000,0,0.0000,0,0.0000
148,安徽省,阜阳市,2015-04-01,2,8.6300,18,83.0900,11,40.4800,5,24.9700,0,0.0000,5,187.0000,1,23.6000,0,0.0000
149,安徽省,阜阳市,2015-05-01,4,18.6900,5,12.3000,7,42.1600,7,20.7300,2,0.6500,2,1.3400,0,0.0000,0,0.0000
150,安徽省,阜阳市,2015-06-01,5,28.6400,13,22.8100,22,82.4600,2,2.2200,0,0.0000,0,0.0000,0,0.0000,0,0.0000
151,安徽省,阜阳市,2015-07-01,9,27.9600,31,73.4200,14,41.6300,18,23.0500,1,5.6000,8,46.4300,0,0.0000,0,0.0000
152,安徽省,阜阳市,2015-08-01,12,28.6500,13,45.1600,22,95.8900,7,7.3100,1,0.3700,2,6.6900,0,0.0000,0,0.0000
153,安徽省,阜阳市,2015-09-01,3,1.8500,33,115.4400,10,52.0100,14,47.8900,1,1.0800,23,78.8700,0,0.0000,0,0.0000
