OBJECTID,BSM,YSDM,TBYBH,TBBH,DLBM,DLMC,QSXZ,QSDWDM,QSDWMC,ZLDWDM,ZLDWMC,TBMJ,KCDLBM,KCXS,KCMJ,TBDLMJ,GDLX,XZDWKD,TBXHDM,TBXHMC,ZZSXDM,ZZSXMC,GDDB,CZCSXM,SJNF,MSSM,GDPDJB,FRDBS,HDMC,BZ,Shape_Leng,Shape_Area,centroid_x,centroid_y,area
184,360726211000048196,2001010100,,77,0201,果园,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,2336.92,,0.0,0.0,2336.92,,0.0,,,,,0,,2019,0,,0,,,216.085286677,2338.19416652,38648430.39818711,2776918.708007035,2338.1941665248014
185,360726211000048197,2001010100,,27,0302,竹林地,30,3607261002010000000,欣山镇修田村,3607261002010000000,欣山镇修田村,3809.3,,0.0,0.0,3809.3,,0.0,,,,,0,,2019,0,,0,,,235.96509955,3811.12173686,38639004.15062062,2776946.3110136753,3811.1217368633424
186,360726211000048198,2001010100,,52,0201,果园,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,7498.12,,0.0,0.0,7498.12,,0.0,,,,,0,,2019,0,,0,,,360.628658025,7501.97620964,38644372.65005554,2776929.318821793,7501.976209643969
187,360726211000048199,2001010100,,28,0302,竹林地,30,3607261002010000000,欣山镇修田村,3607261002010000000,欣山镇修田村,12925.8,,0.0,0.0,12925.8,,0.0,,,,,0,,2019,0,,0,,,627.134717125,12931.9536159,38638842.863740414,2776875.711530902,12931.95361594
188,360726211000048200,2001010100,,29,1006,农村道路,30,3607261002010000000,欣山镇修田村,3607261002010000000,欣山镇修田村,2198.97,,0.0,0.0,2198.97,,4.5,,,,,0,,2019,0,,0,,,968.872813109,2200.05346248,38641428.46807248,2776816.4217696297,2200.0534624839297
189,360726211000048201,2001010100,,53,0101,水田,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,3788.01,1203.0,0.1192,451.53,3336.48,TT,0.0,,,LYFL,粮与非粮轮作,0,,2019,0,4.0,0,,,409.389707313,3789.94667605,38643875.579477794,2776888.518113534,3789.946676045745
190,360726211000048202,2001010100,,54,0302,竹林地,10,3607261002150000000,欣山镇安子岽林场,3607261002090000000,欣山镇富田村,2847.39,,0.0,0.0,2847.39,,0.0,,,,,0,,2019,0,,0,,,223.780768194,2848.90376361,38646880.48855137,2778333.694600592,2848.903763609928
191,360726211000048203,2001010100,,30,1006,农村道路,30,3607261002010000000,欣山镇修田村,3607261002010000000,欣山镇修田村,1042.48,,0.0,0.0,1042.48,,4.2,,,,,0,,2019,0,,0,,,363.270744557,1042.98721379,38640541.75633724,2778337.282865229,1042.9872137861234
192,360726211000048204,2001010100,,31,1006,农村道路,30,3607261002010000000,欣山镇修田村,3607261002010000000,欣山镇修田村,506.06,,0.0,0.0,506.06,,3.59999990463,,,,,0,,2019,0,,0,,,229.16976569,506.299645447,38638678.12656246,2778322.0820078184,506.29964544650574
194,360726211000048206,2001010100,,55,0201,果园,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,17095.27,,0.0,0.0,17095.27,,0.0,,,,,0,,2019,0,,0,,,662.59667678,17104.0401699,38644153.30357492,2778276.1443757988,17104.04016988942
195,360726211000048207,2001010100,,56,0602,采矿用地,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,4584.95,,0.0,0.0,4584.95,,0.0,,,,,0,204.0,2019,0,,0,,,307.622525003,4587.30384189,38644264.302783474,2778332.194075453,4587.303841885665
196,360726211000048208,2001010100,,57,0301,乔木林地,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,2599.49,,0.0,0.0,2599.49,,0.0,,,,,0,,2019,0,,0,,,268.906623748,2600.81844327,38643811.94258227,2778320.3335663606,2600.8184432734606
197,360726211000048209,2001010100,,12,0809,公用设施用地,30,3607261002120000000,欣山镇碛角村,3607261002120000000,欣山镇碛角村,626.99,,0.0,0.0,626.99,,0.0,,,,,0,203.0,2019,0,,0,,,108.26773242,627.286884157,38638478.25795433,2778374.2522797324,627.2868841572335
198,360726211000048210,2001010100,,32,1006,农村道路,30,3607261002010000000,欣山镇修田村,3607261002010000000,欣山镇修田村,263.66,,0.0,0.0,263.66,,2.79999995232,,,,,0,,2019,0,,0,,,99.9956414836,263.786249937,38641156.46843456,2778364.7623781324,263.7862499368697
199,360726211000048211,2001010100,,58,0301,乔木林地,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,22615.14,,0.0,0.0,22615.14,,0.0,,,,,0,,2019,0,,0,,,1054.93731405,22626.7556935,38644208.68980433,2779222.6806096043,22626.755693536652
201,360726211000048213,2001010100,,33,0103,旱地,10,3607261002010000000,欣山镇修田村,3607261002010000000,欣山镇修田村,4166.65,1203.0,0.0974,405.83,3760.82,PD,0.0,,,FLS,种植非粮食作,0,202.0,2019,0,3.0,0,,,299.289961266,4168.67691057,38640278.78005331,2779276.851031712,4168.676910570636
